15,9,0,0
25,25,0,1
23,38,0,2
16,14,10,3
8,15,10,4
23,3,10,5
37,15,10,6
38,15,10,7
39,15,10,8
49,9,10,9
49,10,10,10
49,11,10,11
46,2,10,12
46,3,10,13
47,3,10,14
48,3,10,15
47,2,10,16
58,13,10,17
57,12,10,18
57,14,10,19
59,14,10,20
65,20,10,21
67,20,10,22
81,14,10,23
79,14,10,24
80,13,10,25
81,12,10,26
1,21,10,27
1,26,10,28
26,21,10,29
24,21,10,30
22,21,10,31
56,96,10,32
57,95,10,33
58,96,10,34
58,95,10,35
58,94,10,36
58,92,10,37
46,96,10,38
47,94,10,39
48,95,10,40
48,96,10,41
49,96,10,42
43,92,10,43
43,93,10,44
42,93,10,45
41,92,10,46
22,94,10,47
23,96,10,48
24,96,10,49
25,95,10,50
25,94,10,51
24,93,10,52
24,94,10,53
27,96,10,54
